Wilayah,GunaLahan,LuasLahan,PersentaseLokal,FaktorPengali,IntensitasHujan,DebitLimpasanExisting
Kaserangan,Zona Pengelolaan Persampahan,"1,690","0,004457276353","0,500","53,31","0,2228757757"
Kaserangan,Zona Badan Air,"50,868","0,1341655341","0,500","53,31","2,047783325"
Kaserangan,Zona Kawasan Peruntukan Industri,"0,000",0,"0,800","53,31",0
Kaserangan,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Kaserangan,Zona Perdagangan dan Jasa,"1,139","0,003005264781","0,950","53,31","0,2177383381"
Kaserangan,Zona Perkantoran,"2,123","0,005598646484","0,950","53,31","0,4514913858"
Kaserangan,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Kaserangan,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Kaserangan,Zona Pertanian,"82,050","0,2164087528","0,560","53,31","5,811233689"
Kaserangan,Zona Peruntukan Lainnya,"0,000",0,"0,600","53,31",0
Kaserangan,Zona Ruang Terbuka Hijau,"197,072","0,519778926","0,600","53,31","10,73564174"
Kaserangan,Zona Ruang Terbuka Non Hijau,"0,000",0,"0,700","53,31",0
Kaserangan,Zona Sarana Pelayanan Umum,"0,333","0,0008780640124","0,950","53,31","0,05842274156"
Kaserangan,Zona Perumahan,"25,906","0,06832783633","0,950","53,31","6,686937975"
Kaserangan,Zona Badan Jalan,"17,964","0,04737969914","0,700","53,31","3,93777524"
Beberan,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Beberan,Zona Badan Air,"0,122","0,0004829788916","0,500","53,31","0,003952090425"
Beberan,Zona Kawasan Peruntukan Industri,"17,249","0,06838924069","0,800","53,31","4,413905769"
Beberan,Zona Pembangkitan Tenaga Listrik,"17,249","0,06838924069","0,800","53,31","4,350048977"
Beberan,Zona Perdagangan dan Jasa,"0,213","0,0008462239578","0,950","53,31","0,04197971777"
Beberan,Zona Perkantoran,"0,000",0,"0,950","53,31",0
Beberan,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Beberan,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Beberan,Zona Pertanian,"137,405","0,5447890418","0,560","53,31","10,89575558"
Beberan,Zona Peruntukan Lainnya,"14,531","0,05761331353","0,600","53,31","1,60707572"
Beberan,Zona Ruang Terbuka Hijau,"32,840","0,1302078037","0,600","53,31","1,341758085"
Beberan,Zona Ruang Terbuka Non Hijau,"0,000",0,"0,700","53,31",0
Beberan,Zona Sarana Pelayanan Umum,"0,696","0,002761238313","0,950","53,31","0,1204260151"
Beberan,Zona Perumahan,"24,309","0,09638271147","0,950","53,31","6,449887879"
Beberan,Zona Badan Jalan,"7,601","0,03013820703","0,700","53,31","1,786071706"
Citerep,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Citerep,Zona Badan Air,"0,000",0,"0,500","53,31",0
Citerep,Zona Kawasan Peruntukan Industri,"0,000",0,"0,800","53,31",0
Citerep,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Citerep,Zona Perdagangan dan Jasa,"9,282","0,064379576","0,950","53,31","1,917050267"
Citerep,Zona Perkantoran,"1,577","0,01093907235","0,950","53,31","0,4048727523"
Citerep,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Citerep,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Citerep,Zona Pertanian,"50,846","0,3526793869","0,560","53,31","3,96748597"
Citerep,Zona Peruntukan Lainnya,"0,642","0,004452081445","0,600","53,31","0,06481870403"
Citerep,Zona Ruang Terbuka Hijau,"26,791","0,1858283575","0,600","53,31","1,290366706"
Citerep,Zona Ruang Terbuka Non Hijau,"0,022","0,0001545785437","0,700","53,31","0,002027310142"
Citerep,Zona Sarana Pelayanan Umum,"3,926","0,0272302252","0,950","53,31","0,6679988629"
Citerep,Zona Perumahan,"43,304","0,300370378","0,950","53,31","11,96020311"
Citerep,Zona Badan Jalan,"7,780","0,05396634403","0,700","53,31","1,728779042"
Gosara,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Gosara,Zona Badan Air,"1,847","0,008323334726","0,500","53,31","0,04990017286"
Gosara,Zona Kawasan Peruntukan Industri,"0,000",0,"0,800","53,31",0
